Comment Number,Comment Text
798,全ての始まり
799,wow
800,Oh wow already 20 years ago
801,Wow very nice 👍
802,"When I watched the very first video   ever uploaded to youtube , I felt a deep sense of awe as a human being on Earth 💪✌️"
803,Wow very nice 👍
804,Youtube should visit this vid and say thanks
805,Wow yar
806,Congrats 🎉for YouTube
807,"Wow, this really has a lot of likes and views!"
808,The cool thing
809,Incredible
810,Were you the one that created YouTube ?
811,Sad the YouTube didn't comment here until today... 🤧
812,Wow nine
813,Bro so nice to see that he is happy at that time when I was not even born saw the oldest smile ever ❤❤❤
814,This is me after 20 years❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
815,Happy 20 years of YouTube!
816,yo
817,Ciao da Caorle🏖️
818,Any one in 2025 👽🔪
819,Wow! The elephant is big!!
820,なんで今流れてくんの？w
821,First YT Video 😮😮😮🎉🎉🎉🎉🎉🎉🎉🎉👍
822,i am fish 🤩🤩
823,🎉🎉🎉
824,First
825,Jo Jo up se h like kro 🎉
826,Thank for 5 subscribe🎉🎉🎉
827,this was on my fyp in 2025
828,2025.5.6 7:30
829,How old is he anyway?
830,"I'm going to be 20 this year in December! 
Like my comment so that i can remember my age 😂😞"
831,10:00
832,Я тоже здесь буду
833,Awesome
834,.وعلاش صورتي الفيديو
835,Happy 20 years of YouTube (i am a lit bit late)
836,i was here for the 20 year anniversary
837,"Wow, this is a video from 20 years ago!!"
838,"쿠빈 영상보고 온 사람
👇
👇"
839,"I cannot believe this video got 20 years!
Congratulations!"
840,Why is the graphics so bad well it is posted in 2005 and it 19 seconds?😊
841,Is this the first video on YouTube?
842,WOW this is the first ever youtube video. This is absolutely insane. Thinking what we watch now and this!? Also one of the most liked comments? IDK THIS IS INSANE BRO
843,Worship the strawberry.
844,Interesting fact: this is the oldest video on YouTube 🤩
845,유튜브 최초의 영상에 나의 흔적을 적어놓다.
846,Good video❤❤❤
847,20 YEARS AGO? im so happy to find the first video in youtube tysm
848,와우 나도 달아야징
849,Highest level grand
850,i wish i could go back to those days 😭
851,Were are you
852,20 anos  😮
853,Thase elephant are famous
854,😮😮😮😮 20years😮😮😮
855,First
856,1 video=5.5M subs+360M Views
857,𝔽𝕚𝕣𝕤𝕥 𝕧𝕚𝕕 𝕠𝕟 𝕪𝕠𝕦𝕥𝕦𝕓𝕖
858,"Im back in May 6, Tuesday, 5:33 UTC+08:00 2025"
859,쿠빈쨩❤
860,Who is you mr
861,Wow 20 years old
862,20년전 ㅈ되네
863,IS HE STILL HERE
864,Why YouTube recommend it after 20 years 🤔
865,Wow first video
866,Իսկ իմ քոմը առաջին հայերեն քոմնա էս վիդեոյի տակ։
867,The first video of YouTube
868,Hi ‏‪0:19‬‏
869,"20 YEARS , means 20 year of  youtube! 
and just a blink of an aye? it will be 30."
870,20 years ago is INSANE
871,"Who from 2025😊
👇"
872,359مليون مشاهده يعني 359مليون شخص منذ 20سنه كم شخص منهم مات؟ ادعو لهم بالرحمه وسيأتي يوم ونكون منهم😭
873,Sheen 20 years is crazy
874,This is the fastest video on YouTube
875,Who watching IN 2025😂
876,I am the. First guy from Ethiopia who is comment on this video after 20 years ago
877,Of the time
878,😂😂
879,20 lat
880,ついに20年前！
881,Halo im from Indonesia
882,Who sees 20 years and opens it up >>>
883,Привет Я только что создали резервную копию в этом году
884,Who is watching this video in 2025
885,"Someone suggested to comments here and peoples will subscribe your channel,let me try"
886,Dear owner of this video we want more videos upload on your chanel
887,20 years….
888,This video never gets old blows up the whole history every day
889,ya son 20 años
890,2025 anyone??❤😊😮
891,Here from 2025😮
892,The vid is older than me wow
893,Happy 20 years
894,who seeing 2025😊
895,Omg 20 Years Ago
896,こんにちは
897,This is the first video on YouTube 😮
898,I still 😮
899,who is here in 2025❤😅
900,Anyone In 2025? Happy 20th Anniversary!
901,Anyone in 2025 👇
902,First video you tube 😘 0:19
903,Wow this was filmed at the exact time when my boyfriend was born
904,Me at the zoo in my recommended is crazy
905,20 años wow como pasa el tiempo volando
906,كفو
907,How are you my story 233 y borren city 20 two Ford Netflix the world elefantes
908,❤seeing @2025
909,"20 years ago later, legends ❤"
910,Congrats me at the zoo🎉🎉🎉🎉🎉🎉
911,7/5/25
912,Alguien que hable español del 2025
913,2025 new comment 2025/04/06
914,Hi @jawed. It's been 20 years.
915,20 years ago???? let`s wait more 20 years to be really old like can`t belive it!
916,Binod
917,Nice to meet you jawed if you're seeing my comment please pin me too and reply me something love you ❤❤❤
918,:)
919,Sup
920,were are you
921,We're so honored that the aver youtube videos was filmed hare!
922,1
923,Happy 20th birthday of YouTube ❤
924,love you brother
925,Great Abbas khan
926,"Who watching this vid 20 years later
👇🏾"
927,No se cómo mi YouTube me recomendó este video xdddddd
928,Karrem I think all your views came from Lorcán from the irish youtubers 😂😂😂😂
929,"happy birthday ""Me at the zoo"" !"
930,0:05 KON KON VIDEO DEAKH KAR AYA 😂
931,Bhai tab mai standard 2 me tha😢
932,20 YEARS ALREADY?
933,Damn seeing thats its 20 years old makes me feel old when im Not that old 😭
934,396 M Views
935,im from the year 2011 and 2025 is just like 2005 year youtube what i from year 2011 has music video 5.1B all video is crazy
936,Porcelain Anniversary Bro🎉🎉🎉
937,20 years 🎉❤
938,"30/7/2005
6/5/2025"
939,Guy makes the best video sharing platform on the plant still dosent drop out of collage and then sells it for billions and goes to live a comfortable life as a angle investor. Now that is smart.
940,My god
941,damn thats crazy
942,Hello
943,Creo q si el tipo no pierdio la cuenta estaria gando burda de plata
944,Neeraj Krishna Leela film
945,"Wait,  Asian and African elephants together🤔🤨?"
946,"Wait a minute, sections in this video? How is that possible? 🤔🤨"
947,Brother is too OG that he still give likes after 20 years. This man is purely OG.
948,Happy 20th YouTube video its a honour to see this video
949,"20 years of inspiring content, Here’s to many more years of greatness!"
950,В рекомендациях
951,The name of the zoo should be 'At the Zoo' after this video.
952,"Hi Jawed, greetings from Peru. Here I´m watching the first YouTube video that made history 🐘.
 Like it if you also speak Spanish."
953,Lol I just got recommended this
954,who is looking forward to 2025
955,Gua terakhir cuyyy
956,🎉🎉first video
957,Vào một ngày đẹp trời
958,wow world first video in you tube
959,YouTubeで20年前と表示される事実に驚きを隠せない
960,E
961,"1. Bro face🌚  
2. Bro voice😏  
3. Bro content😎  
4. Bro subscribers🥶  
5. Bro energy🔥  
6. Bro hustle🤑  
7. Bro squad💪  
8. Bro flex😤  
9. Bro vibes🤘  
10. Bro attitude😈  
11. Bro style✨  
12. Bro goals🎯  
13. Bro skills👑  
14. Bro grind⏳  
15. Bro dreams🚀  
16. Bro mindset📈  
17. Bro legacy🌟  
18. Bro wins🏆  
19. Bro journey🌍  
20. Bro power⚡  
21. Bro focus🧐  
22. Bro squadron🛡  
23. Bro passion💥  
24. Bro vision👀  
25. Bro respect🙏  
26. Bro charisma💫  
27. Bro fame🎤  
28. Bro progress📊  
29. Bro hype🚨  
30. Bro chill🧊  
31. Bro courage🦁  
32. Bro wealth💰  
33. Bro team🏋  
34. Bro art🎨  
35. Bro future🌌  
36. Bro innovation🛠  
37. Bro strategy🎲  
38. Bro drive🚗  
39. Bro dedication📚  
40. Bro influence🗣  
41. Bro squad goals⚽  
42. Bro loyalty🤝  
43. Bro adventure🎢  
44. Bro story📖  
45. Bro hustle hours⏱  
46. Bro network🌐  
47. Bro creativity💡  
48. Bro elevation⛰  
49. Bro wisdom📜  
50. Bro solutions🧩  
51. Bro achievements🎉  
52. Bro faith☀  
53. Bro decisions🗺  
54. Bro connection🌉  
55. Bro skills unlocked🔓  
56. Bro wave🌊  
57. Bro strength🏋‍♂  
58. Bro kindness🫶  
59. Bro universe🌠  
60. Bro patience⏳  
61. Bro hustle game🎮  
62. Bro grind mindset🧠  
63. Bro top level🏔  
64. Bro throne👑  
65. Bro legend🔥  
66. Bro effort💪  
67. Bro challenges🧗  
68. Bro reputation📜  
69. Bro roar🦁  
70. Bro peak⛰  
71. Bro transformation🌈  
72. Bro synergy🤝  
73. Bro clarity💎  
74. Bro motivation🎯  
75. Bro spark✨  
76. Bro dominance🏆  
77. Bro endurance🏃  
78. Bro reflection🪞  
79. Bro impact💥  
80. Bro shield🛡  
81. Bro growth📈  
82. Bro persistence🚶  
83. Bro summit🎉  
84. Bro drive mode🚗  
85. Bro uplift🚀  
86. Bro precision🎯  
87. Bro tribe🦅  
88. Bro gear⚙  
89. Bro solutions👷  
90. Bro optimism☀  
91. Bro honor⚔  
92. Bro edge🪒  
93. Bro tempo🎵  
94. Bro fusion💥  
95. Bro reality🌍  
96. Bro momentum🏃  
97. Bro optimism📈  
98. Bro status🌟  
99. Bro fire🔥  
100. Bro vision board📋  
101. Bro legacy stone🪨  
102. Bro temple of grind🏛  
103. Bro symbol💎  
104. Bro fortune🍀  
105. Bro fearless🗡  
106. Bro boost🚀  
107. Bro dynamic⚡  
108. Bro quest🎯  
109. Bro zen🧘  
110. Bro inner peace🌌  
111. Bro setup🎮  
112. Bro wall⚒  
113. Bro signal📡  
114. Bro next step🏃‍♂  
115. Bro code🔢  
116. Bro strike⚔  
117. Bro genius🔬  
118. Bro beat🎵  
119. Bro fire squad🔥  
120. Bro climb🎢  
121. Bro pack🐺  
122. Bro upgrade🔧  
123. Bro unity🤜🤛  
124. Bro empire🏰  
125. Bro guard🛡  
126. Bro basecamp⛺  
127. Bro genius zone🧠  
128. Bro mountaintop⛰  
129. Bro takeover🎯  
130. Bro rhythm🎶  
131. Bro epic mode⚔  
132. Bro glow✨  
133. Bro storm⚡  
134. Bro icon🖼  
135. Bro mastery📖  
136. Bro guide🧭  
137. Bro potential🛡  
138. Bro dominance🎯  
139. Bro pulse💓  
140. Bro stream🌊  
141. Bro wings🦅  
142. Bro call📞  
143. Bro story mode📖  
144. Bro operation🛠  
145. Bro magic✨  
146. Bro fusion zone🔥  
147. Bro prep⏱  
148. Bro badge🏅  
149. Bro flow⛲  
150. Bro greatness🏆  
151. Bro sharpness🗡  
152. Bro instinct🐾  
153. Bro hunger🍖  
154. Bro masterpiece🎨  
155. Bro fortress🏰  
156. Bro clan🏹  
157. Bro empire builder🏗  
158. Bro tech⚙  
159. Bro mastermind🧠  
160. Bro architect📐  
161. Bro commander🎖  
162. Bro torchbearer🔥  
163. Bro frontier🌌  
164. Bro beacon🕯  
165. Bro revolution🌪  
166. Bro blueprint📂  
167. Bro edge seeker🪓  
168. Bro radar📡  
169. Bro uplifter🌈  
170. Bro networker🌐  
171. Bro magnet🧲  
172. Bro radar finder📍  
173. Bro innovator⚡  
174. Bro enigma🔮  
175. Bro navigator🧭  
176. Bro engine🚂  
177. Bro essence🍃  
178. Bro tactician🎮  
179. Bro fueler⛽  
180. Bro experimenter🧪  
181. Bro unlocker🔓  
182. Bro wizard🪄  
183. Bro vision maker🌠  
184. Bro lighthouse🏮  
185. Bro miracle💎  
186. Bro conqueror🏆  
187. Bro frontline⚔  
188. Bro core⚛  
189. Bro hammerer🔨  
190. Bro sculptor🗿  
191. Bro guardian🛡  
192. Bro reactor🌋  
193. Bro cycler🌪  
194. Bro magnetism🧲  
195. Bro fearless lion🦁  
196. Bro satellite🛰  
197. Bro striver🏋‍♂  
198. Bro combatant🏹  
199. Bro analyst📈  
200. Bro tracker🕵‍♂  
201. Bro optimizer⚙  
202. Bro builder🚧  
203. Bro finisher🏁  
204. Bro mechanic🔧  
205. Bro voyager🛳  
206. Bro pacesetter🏃‍♂  
207. Bro trailblazer⛺  
208. Bro goal chaser🎯  
209. Bro adventurer🧗‍♂  
210. Bro perfectionist🎨  
211. Bro magnet zone📡  
212. Bro driver🚘  
213. Bro wizardry🔮  
214. Bro innovator zone⚙  
215. Bro timeline⏳  
216. Bro conductor🚋  
217. Bro module🏗  
218. Bro coder🖥  
219. Bro shifter⚒  
220. Bro dreamer🌠  
221. Bro streamliner⚡  
222. Bro optimizer zone🌌  
223. Bro knight🛡  
224. Bro charger🔋  
225. Bro brainstorm🌪  
226. Bro beacon light🔦  
227. Bro map maker🗺  
228. Bro courage zone🔥  
229. Bro blast🎆  
230. Bro trigger🎯  
231. Bro survivor⛑  
232. Bro inventor🔬  
233. Bro pinnacle⛰  
234. Bro resilience💪  
235. Bro spark zone✨  
236. Bro hustler zone💼  
237. Bro map discoverer📍  
238. Bro believer🙏  
239. Bro clarity zone💎  
240. Bro supernova🌟  
241. Bro aligner📐  
242. Bro turbocharger🚀  
243. Bro beast mode🦁  
244. Bro traveler🧳  
245. Bro target master🎯  
246. Bro stronghold⛪  
247. Bro achiever🏅  
248. Bro active zone⚡  
249. Bro climber⛰  
250. Bro finisher master🏁  
251. Bro executor🗂  
252. Bro igniter🔥  
253. Bro expander📊  
254. Bro progressor📈  
255. Bro activator⏩  
256. Bro solution finder🔍  
257. Bro foundation builder🏗  
258. Bro vault breaker🔓  
259. Bro treasure hunter💎  
260. Bro climber instinct🧗‍♂  
261. Bro swift mover🕊  
262. Bro balance maker⚖  
263. Bro future engineer📐  
264. Bro health zone🌿  
265. Bro lightning⚡  
266. Bro strategy seeker🎯  
267. Bro inner spark✨  
268. Bro sharp climber⛏  
269. Bro base maker🏠  
270. Bro alpha🐺  
271. Bro zone master🎯  
272. Bro plan maker📋  
273. Bro wave runner🌊  
274. Bro wall breaker💥  
275. Bro infinite zone♾  
276. Bro hammer zone🔨  
277. Bro explorer zone🌎  
278. Bro fire starter🔥  
279. Bro hustle finisher📈  
280. Bro finder zone🔍  
281. Bro courageous mind🦁  
282. Bro ultimate🏆  
283. Bro striker🎯  
284. Bro frontier explorer🌍  
285. Bro mission runner🚀  
286. Bro leader master👑  
287. Bro inner core⚛  
288. Bro triumph seeker🏅  
289. Bro arrow sharp🎯  
290. Bro builder mind🧠  
291. Bro captain zone🛡  
292. Bro gear master⚙  
293. Bro top planner📈  
294. Bro fighter zone⚔  
295. Bro inner goals📋  
296. Bro seeker vision🌌  
297. Bro tower zone🏰  
298. Bro galaxy star🌌  
299. Bro finisher core🏁 
300. Bro unstoppable 🥶"
962,Happy birthday boss 🫡
963,Español 2026
964,Wow 20 años el vídeo 😮😮😮
965,Wonder if this place will make it another 20 more
966,Chido
967,This video turned 20 like I’m going to in a few months (I’m a 2005 baby)
968,Anyone in 2025?😮
969,How is it 20 years when I see this 19 years
970,Who are watching from 2025
971,Es una leyenda
972,Kon kon instagram se aya hai
973,Just one video 😮
974,You're alive broo
975,Any way 2025/5/6
976,"Must have been really cool, first video on YouTube. I saw that Jawed also put a pinned comment on the video with thanks and gratitude to the San Diego Zoo for hosting him in making this historic video. It's a good thing too, because there are enough elephants in this video to make the San Diego Zoo pretty happy."
977,"I’m proud to live in the same city that the first YouTube video was made
Absolute legend"
978,20 years video😮
979,A
980,Happy Bi
981,YAJU&Uはこれを超える
982,If he was around 20 HE IS 40 NOW
983,20 YEARS OMG thats alot😮
984,حجز التعليق
985,Hello
986,Desde 20 años en adelante
987,Hola desde el futuro
988,"estoy aqui otra vez, Youtube me recomendo el vídeo."
989,急におすすめ出てきたの自分だけ？、
990,It's been 20 years and you still show up on my recommended feed.
991,もはや最後の日本人俺説
992,Faz uma parte dois kkkkk
993,20 anos
994,20 anos poxa vida emm
995,yo hey jawad collab?
996,Bro thats elephant are so chill
997,😢
998,Why don’t u post new videos jawed Congratulations 20 years of YouTube bro❤
999,"Cảm ơn ngài đã tạo ra nền tảng này để chúng tôi giải trí mọi lúc mọi nơi, mọi lứa tuổi."
1000,It's amazing to think that this is the first video of its kind in the world.
1001,❤
1002,naimul karim is your dad
1003,❤
1004,I still can’t process in my head that a YouTube video is 20 yrs ago
1005,Bro you are troll rhan anyone
1006,Kaha se ho tum 😂😂
1007,"Chapter 1: Chicken Jockey Rising Chicken Jockey
In a land of chicken jockey, ruled by chicken jockey, there lived a lone chicken jockey who dreamed of becoming the chicken jockey of all chicken jockeys.
“Chicken jockey,” whispered the chicken jockey as he stared at the chicken jockey moon.
Suddenly, from the chicken jockey woods, a wild chicken jockey appeared riding a chicken jockey. The chicken jockey stared into the eyes of the chicken jockey and said:
“Chicken jockey?”
The chicken jockey nodded. “Chicken jockey.”
Then everything exploded.
“CHICKEN JOCKEY!” they screamed in perfect chicken jockey unison.
A nearby villager witnessed the chicken jockey carnage and ran for his chicken jockey life.
“Chicken jockeys are real!” he screamed, tripping over a chicken jockey.
From the horizon, a stampede of chicken jockeys approached. Hundreds. Thousands. All chanting:
“Chicken jockey. Chicken jockey. CHICKEN JOCKEY!!”
Lightning struck a chicken jockey tree. It burst into chicken jockey flames. A chicken jockey emerged, completely unharmed.
He looked into the camera and said, “This is... Chicken Jockeycraft.”
Cut to the chicken jockey council chamber. A circle of chicken jockeys sat around a giant chicken jockey table carved from solid chicken jockey.
The Grand Chicken Jockey spoke. “Fellow chicken jockeys. The chicken jockey prophecy has been chicken jockeyed. We must chicken jockey before the chicken jockey awakens the Chicken Jockey Within.”
All chicken jockeys gasped in chicken jockey.
Meanwhile, the chicken jockey hero trained by punching chicken jockey hay bales and shouting “CHICKEN JOCKEY!” every time he leveled up his chicken jockey stats.
“Chicken jockey?” said his mentor.
“Chicken jockey,” he replied.
Chicken jockey montage.
Music: Eye of the Chicken Jockey
Suddenly, an evil chicken jockey named Sir Clucksworth appeared with an army of Wither-chickens and zombie chickens—all wearing tiny iron helmets. They screamed:
“WE ARE THE CHICKEN JOCKEY APOCALYPSE.”
The chicken jockeys gasped again but this time more dramatically. One chicken jockey fainted into another chicken jockey’s feathers.
“Chicken jockey... no.”
The ground cracked.
A portal to the Chicken Jockey Nether Realm opened.
From it emerged... the Dark Chicken Jockey King.
He wore full enchanted netherite chicken armor.
He raised his mighty chicken staff and cackled:
“CHICKEN JOCKEYYYYYYY!!!”
And the screen faded to black.
White text appeared:
CHICKEN JOCKEY"
1008,👀
1009,2025
1010,Damn this was 20 years ago 😬
1011,Bro u don't you post another video 😊
1012,Which is your country? happy 20 year for your only one video In all 20 year with 5 million subscriber
1013,"👑✝Repent - change of your ways and go to God✝👑

(John 3:16): ""For God so loved the world that he gave his only begotten Son, that whosoever believeth in him should not perish, but have eternal life""

[Revelation 7:9-10]: ""After this I looked, and there before me was a great multitude that no one could count, from every nation, tribe, people and language, standing before the throne and before the Lamb. They were wearing white robes and were holding palm branches in their hands. And they cried out in a loud voice: “Salvation belongs to our God, who sits on the throne, and to the Lamb.”""

🙏♥(2 John 1:3),(Matthew 6:14-15),(Luke 7:47),(Revelation 1:7)♥🙏 Amen✝👑"
1014,Bro plzz upload more videos in the zoo
1015,"cool

(John 3:16)"
1016,Jawed you should post
1017,20 YEARS AGO?!? HUH!?😭😭😭
1018,Happy 20th anniversary!
1019,it says 20 years ago now.. thats crazy
1020,Yutub
1021,❤
1022,Omg 20 years
1023,The Legend 🎉
1024,Skibidi
1025,"20 years huh, wow"
1026,First!
1027,واتتتت هيرررر🗿💔!!!!!!!!
1028,First vedio in youtube
1029,20 years is crazy
1030,What do you think if everyone likes my comment until it reaches a million likes?
1031,oh my god 20 years
1032,I can't believe this is where youtube started
1033,2025
1034,Come back ❤
1035,"🟨🟨🟨🟨
⬜️⬜️⬜️⬜️
🟩🟩🟩🟩 INDIA - LIKE 
OTHER COUNTRY - COMMENT"
1036,This was in my fyp when its older then me lol😂
1037,"Kon Kon 2025 Me dhekh rha hai 
😅😅"
1038,i wonder how much this video made.... happy 20 years of yt ^^
1039,😱😱😱😱😱
1040,Took 20 years for this vid to reach my recommendations
1041,Peak entertainment
1042,I been looking for this for a while now 😊
1043,"I'm really confused. This video is from 20 years ago, which means it was during the YouTube era. This means this is the first video. When was it uploaded? Sir or God?😨😱😱😱😱😱"
1044,Omg
1045,20 YEARS
1046,"Guys, it's been 20 years!!"
1047,"A bit late, but happy 20 years on youtube! seeing that ""made 20 years ago"" makes me feel old!"
1048,First ever 20 yr old yt vid😅
1049,Brasil 🇧🇷🇧🇷🇧🇷
1050,😲😲😲😈
1051,Post another video
1052,Rica Games
1053,"So this is where is all start its damn bro i feel kinda old now knowing the existence of the first ever uploaded video on youtube 20 years ago, well happy 20th anniversary and have a wonderful day!! ❤❤❤"
1054,Hello people who came here because of a short
1055,Happy 20 years of youtube
1056,Hace 20 años
1057,And the cats? Where are the cats? I want cats 😾
1058,New video please
1059,20 años ya han pasado...
1060,"What scares me is that what this guy is wearing is an outfit from 20 years ago, and it's somehow fresh in my mind

Absolutely unreal"
1061,First YouTube video this shows that YouTube has came a long way
1062,Happy birthday 20 years for the YouTube video
1063,sybau jawed
1064,"The fact this is still getting recommended, also let’s start something that’s happening every year I’ll go first…. Chicken jockey 🏇"
1065,Coil
1066,Ok
1067,"🎉🎉🎉🎉

❗️"
1068,"And this, Is how all begins"
1069,20 years!!! We did it Youtube!!!!
1070,I still cannot believe it’s been 20 years..
1071,20 años tiene este video ☠️💀😵‍💫
1072,359M views wow 😳😳
1073,Wait jawed hearted TapLs comment….HES ALIVE
1074,Seeing “20 years ago” on a YouTube video males me feel a certain type of way
1075,2005?
1076,"That was 20 years ago, that's insane!"
1077,Dale like si estas en el 2025☠️💀☠️💀☠️
1078,Jeez it feels so wrong seeing “20 years ago” happy late 20th anniversary🎉
1079,175200 hours this was uploaded
1080,"20 years ago, wow"
1081,Omg 20
1082,O vídeo é tão antigo que ele tinha que explicar oque era um elefante 😂 tinha acabado de ser inventado🤣🤣🤣🤣🤣
1083,Hi bro ❤ @jawed
1084,我是最新的评论
1085,My first video for jawed
1086,how is this quality better than my last year phone camera😂
1087,😮😮😮😮❤
1088,❤
1089,2025 click button
1090,Do you know that you are a legend?
1091,20 years later on my fyp
1092,Bro disapeared like he never existed.🤔
1093,I thought I was the only youtuber with 300 million views . Congrats...
1094,"wow!
20 years !"
1095,Español colombia
1096,20 YEAR ANNIVERSARY!!
1097,I’d like to join this peice of history so here’s my comment
1098,First video ever😂😂
1099,20 años ya y  es el primer vídeo de YouTube 😮😢
1100,Por ser um dos primeiros vídeo da plataforma era pra ter mais views q o normal e sim 100 bilhões de views 😂🔥🇧🇷
1101,"That's amazing 2025
2005❤❤❤❤"
1102,HEY me and youtube have the same birthday
1103,20 years ago! Holy hell
1104,Gosh the quality is so bad then it use to be but that's probably because it was posted 20 years ago
1105,njir udah 20 tahun
1106,"I like how this person has 5.4 million subscribers, but just the one video"
1107,first
1108,“20 years ago” feels weird
1109,Hellow jawed se for ver este video e galera este video e met at the zoo e com titulo do primeiro vídeo do YOUTUBE e tem 6 vídeos desse no YouTube eu fui a sétima  pessoa a fazer pra ver se viralizo até tudo que tá no vídeo original eu falei igual tava tudo anotado no papel eu lendo 🐘🙋🏽‍♂️📷
1110,Hellow jawed eu gravei um video met at the zoo e com titulo do primeiro vídeo do YOUTUBE e tem 6 vídeos desse no YouTube eu fui a sétima  pessoa a fazer pra ver se viralizo até tudo que tá no vídeo original eu falei igual tava tudo anotado no papel eu lendo 🐘🙋🏽‍♂️📷
1111,"who came from the ""test"" ad?"
1112,This is where all started😂
1113,First
1114,Congrats 🎉
1115,Happy to See YouTube first Video upload by @jawed
1116,Hii Jawed
1117,"Yo bro how was the zoo?
I know am a ""TINY BIT"" late😅"
1118,We’re so honored that the first ever YouTube video was filmed here!
1119,Wow
1120,Oh my god 20 years ago and you are still commenting 😮
1121,"this video is the same age as me number wise (20)

im six months older"
1122,"After 20 years, Jawed returned to YouTube after a long time."
1123,who is here in 2025
1124,"Well, it's been 20 years."
1125,Who’s here 5/6/2025
1126,20 Years Ago Feels Weird To See I Feel Old Lmao ❤
1127,What are you testing now?
1128,"It's amazing how a video from 20 years ago is so active.
Congratulations on 20 years🎉🎉"
1129,You are on my chromatic news ag school!
1130,"Remember these videos? No ads. No self promotion. No minutes upon minutes of all the BS of sponsors and self censoring. No hyper fast editing and cuts every 5 seconds.  

I miss those days so much."
1131,I searched the oldest vids on YouTube bruh
1132,これが最後の動画…！
1133,بارك الله فيك
1134,2025😢😢😢
1135,Wow
1136,HOW DID I GET THIS ON MY FYP
1137,"Welp, we've reached the 20s"
1138,Make a new video
1139,I wonder what he looks now
1140,Memory I am here
1141,Which country are you from 🤔
1142,20 YEARS🥳
1143,not only the first video on YouTube but the first video to last 20 years on YouTube
1144,Have you ever earned anything with this video?
1145,Oh my old now is 18 ✊🏼
1146,W
1147,لقد وصلت لعشرين عام ❤
1148,"20 years ago, what an accomplishment jawed, congrats"
1149,Sou o mais recente
1150,The fact that this video is 20 years old now is just crazy.
1151,Hi
1152,u
1153,That's all there is to say
1154,It is the first video in youtube  ever!🌟
1155,Bro
1156,This is amazing
1157,2:14 windows End cycle (4999999997E1)
1158,WOW
1159,2025 please
1160,Crazy just seeing this
1161,"20 лет , ура!"
1162,hola
1163,2025🎉 😢 first video
1164,I'm alone 2025😢
1165,well done.. happy bday dude!
1166,Wow 20 years ago..
1167,The video is older than fkin me
1168,مرحبا أستاد جواد
1169,Seeing that this video was filmed 20 years ago is crazy
1170,the beggining of youtube
1171,anyone in 2030?
1172,Someone in 2025?
1173,👀 Y a-t-il quelqu'un ici? 2025
1174,Woww
1175,From a simple day at the zoo to a lifelong adventure—20 years ago this journey began. Grateful for every moment and everyone who’s been part of it!
1176,TÜRKLER  BURADA MI 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
1177,"🇧🇷 O primeiro vídeo do YouTube, que satisfação senhores.🗿"
1178,"A deep sigh, 20 years eh"
1179,Happy borzday 20 years
1180,This video is so unoriginal
1181,Wtf
1182,Yooooo is Very old!!
1183,a qui lo del 2025
1184,20 years 🖐️😶🖐️
1185,Does the goat reply?
1186,First video wow it's now 2025
1187,How old is bro now💀?
1188,05.05.2025
1189,20 years later the guy still likes comments what a legend
1190,2025
1191,20 years of amazingly great YouTube 😀
1192,20 year 😢
1193,Insano!
1194,Who's here in 2025?
1195,where are you now 🥹 broh
1196,My only dream is for you to like this comment.
1197,Sun k bad bat kr
1198,Jox Hay mard ka ete ka like ❤❤😂😂
1199,Why my comments never gets a single like ? 😂😂😂😂
1200,I GOT EECOMENDED THIS
1201,We're both 20th YouTube congratulations 🎉❤
1202,10millones comentarios XDDDDCUANTROMILSIETEMILMILMIYONES
1203,Bro just unlocked an history of youtube with the first video😮
1204,Who is still watching in 2025
1205,Can't believe u still have this account
1206,someone in 2025?
1207,كلهم مشاهيير
1208,En güncel benim
1209,هل انت موجود ال 2025
1210,THIS WAS THE FIRST VIDEO ON YOUTUBE!!!!CONGRATS🎉🎉🎉🎉🎉
1211,wow 10 MILLION COMMENTS
1212,Me at the beginning of the universe
1213,"20 years is insane. although this video lasts only 19 seconds visually, it lasts an eternity in our memories, every year we come back to see you again in this same zoo, and people still enjoy reliving this legendary moment that gave birth to something precious in the history of the internet. we thank you not only for sharing this video, but also for letting us living this."
1214,TWENTY YEARS AGO?! THIS IS GOATED.
1215,These elephants are famous
1216,The beginning of a legend
1217,Hello
1218,We are so proud
1219,2025
1220,O my god 20 years ago 😮😮
1221,20 years ago 😮
1222,The man the myth *the legend*
1223,Why you can't upload videos
1224,The first video!
1225,May 2025 attendance 😢
1226,Jawed can you favorite my comment? Please 🙏
1227,🇧🇷Oi duvido vocês entender oque eu estou falando americanos Kkkkkk🇧🇷
1228,کی از ۲۰۲۵میاد؟
1229,this video older than me...
1230,Happy 20 years for YouTube😊
1231,Happy 20 years bro🎉
1232,Best video ever! Still in my recommendations))
1233,"upload a new video bro, i wanna see how you are doing now, do you know you are a legend ?"
1234,Happy 20 years of YouTube!
1235,🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
1236,How is this 😮😮❤
1237,hello
1238,Me at the first video of YouTube.
1239,Yo guys 2020 is that old?
1240,Yo bro❤
1241,"20 years ago😳
Time is flying...
We are getting old 😢"
